id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Mirage,Sahara Vibes,world,ethereal,0.48,95,0.67,0.53,0.45
12,Neon Samurai,Tokyo Pulse,synthwave,energetic,0.88,140,0.72,0.81,0.12
13,Mountain Echoes,Highland Dreams,folk,peaceful,0.34,85,0.64,0.50,0.78
14,Urban Jungle,Beat Architect,hip hop,confident,0.76,92,0.58,0.75,0.20
15,Starlit Voyage,Cosmic Drift,classical,serene,0.22,60,0.55,0.30,0.95
16,Electric Carnival,Voltage Crew,edm,party,0.95,128,0.89,0.92,0.05
17,Golden Hour,Sunset Chords,country,nostalgic,0.52,100,0.70,0.60,0.65
18,Deep Abyss,Oceanic Flow,ambient,melancholy,0.25,50,0.40,0.35,0.90
19,Blazing Trails,Wild Horizon,metal,aggressive,0.97,160,0.45,0.70,0.08
20,Velvet Nights,Smooth Tones,r&b,romantic,0.68,88,0.78,0.67,0.30
